Image Path,Caption
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/2715746315.jpg,man wearing a hat
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/3463034205.jpg,a skate park
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/268704620.jpg,two dogs running in the snow
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/2673564214.jpg,a blue and green tent
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/7535037918.jpg,a man with a beard
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4912369161.jpg,a woman in a black and orange swimsuit
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4828071602.jpg,a group of people
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/6802728196.jpg,two little girls in a bathtub
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/3346289227.jpg,a man riding a skateboard down a set of stairs
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/3217056901.jpg,a group of children sitting in a blue chair
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/272471327.jpg,a man cooking food
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4717261252.jpg,a woman eating a piece of paper
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4763916790.jpg,a duck on the sidewalk
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/2700788458.jpg,a man and a woman playing frc
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/2795287622.jpg,a woman jumping into a pool
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4453893059.jpg,a group of kids
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/2094323311.jpg,a man and a dog
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/2375770917.jpg,a man pushing a cart
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/5962278982.jpg,a man in a red suit
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/2460568004.jpg,a large tree
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/2567962271.jpg,a cement mixer
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4569787426.jpg,two bears on the sidewalk
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/2782433864.jpg,two dogs playing in the sand
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4571040008.jpg,a woman with orange hair
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/7616312438.jpg,a man playing a saxophone
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4905053758.jpg,a group of people standing on a beach
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/3533922605.jpg,two women sitting on the floor
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4532518749.jpg,two women on a cliff
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/3397633339.jpg,a man in a wet suit
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4544052868.jpg,a girl in a red leor
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/3173976185.jpg,a dog with its mouth open
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/2148680620.jpg,a woman with red hair
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/2836325261.jpg,a woman in a red dress
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4636055948.jpg,a girl walking in the grass
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/2744615692.jpg,a person walking on the beach
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/5345473274.jpg,a person jumping in the air
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/3551637285.jpg,a woman sitting at a table
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4463211241.jpg,a woman sitting on a bus
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/8127485677.jpg,two girls playing soccer
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/3135826945.jpg,a woman holding a child
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/393959556.jpg,a woman in a red dress
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/165984091.jpg,a group of people standing around a table filled with vegetables
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/3284899112.jpg,two people standing on a street corner
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4946045875.jpg,a boy wearing a green shirt
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4535251327.jpg,a man kneeling in front of a wooden altar
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4355004642.jpg,a man in a white shirt
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4921374490.jpg,a woman holding an umbrella
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/188244881.jpg,a man standing on a sidewalk
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/4860415782.jpg,a man holding a silver ball
/kaggle/input/flickr-image-dataset/flickr30k_images/flickr30k_images/3497565955.jpg,a group of people running in a race
